agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
"Monterey County, California",1,103695,"Murders",6,1,500.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"North Little Rock, Arkansas",1,64612,"Murders",6,12,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"North Richland Hills, Texas",1,70853,"Murders",6,2,200.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Prince William County, Virginia",1,480467,"Murders",6,15,-60.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Salt Lake City, Utah",1,206692,"Murders",6,9,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Santa Rosa, California",1,176855,"Murders",6,2,200.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Sarasota County, Florida",1,294526,"Murders",6,5,20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Tyler, Texas",1,110824,"Murders",6,6,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"West Valley, Utah",1,135023,"Murders",6,5,20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Albemarle County, Virginia",1,115659,"Murders",5,2,150.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Antioch, California",1,115271,"Murders",5,14,-64.29%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Colerain Township, Ohio",1,58268,"Murders",5,1,400.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Columbia, Missouri",1,129602,"Murders",5,12,-58.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Elk Grove, California",1,177976,"Murders",5,3,66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Evansville, Indiana",1,114950,"Murders",5,11,-54.55%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Fairfax County, Virginia",1,1094031,"Murders",5,11,-54.55%,"Jan - Jul 2025",2025-12-16 15:08:46 EST
"Fairfield, California",1,119071,"Murders",5,1,400.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Fort Smith, Arkansas",1,90417,"Murders",5,0,NaN%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Gastonia, North Carolina",1,83739,"Murders",5,3,66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Greenwood, Indiana",1,66131,"Murders",5,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hamilton County, Ohio",1,122218,"Murders",5,6,-16.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"High Point, North Carolina",1,115490,"Murders",5,2,150.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
