__lineyka_row_id,agency_full,population,Percent_Change,YTD_Range,Last Updated
346,"Irving, Texas",255203,-88.89%,Jan - Oct 2025,2025-12-16 15:08:46 EST
347,"Kent County, Michigan",267237,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
348,"Knox County, Tennessee",304331,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
349,"Kokomo, Indiana",59720,0.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
350,"La Mesa, California",60008,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
351,"Lansing, Michigan",112529,-33.33%,Jan - Apr 2025,2025-12-16 15:08:46 EST
352,"Lawrence, Massachusetts",87806,-71.43%,Jan - Oct 2025,2025-12-16 15:08:46 EST
353,"League City, Texas",115791,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
354,"Leander, Texas",82228,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
355,"Little Elm, Texas",59954,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
356,"Manchester, New Hampshire",114963,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
